sys_sch,SystemId,SystemName,SchoolName,SchoolId,Cluster,total_enroll,Grade,SingleScore,Third_Grade_Reading,Fifth_Grade_Reading,Eighth_Grade_Reading,College_Readiness,Accelerated_Course_Taking,Four_Year_Graduation_Rate,CollegeEnrollment
6315054,631,Clayton County,Huie Elementary School,5054,E,799,D,63.7,,,,,,,
667297,667,Gwinnett County,Hull Middle School,297,M,1251,A,97.2,,,,,,,
695101,695,Madison County,Hull-Sanford Elementary School,101,E,552,D,62.2,,,,,,,
7615562,761,Atlanta Public Schools,Humphries Elementary School,5562,E,310,D,67.5,,,,,,,
711210,711,Peach County,Hunt Elementary School,210,E,610,F,51.6,,,,,,,
676105,676,Houston County,Huntington Middle School,105,M,786,C,76,,,,,,,
6445058,644,DeKalb County,Huntley Hills Elementary and Montessori School,5058,E,482,C,76,,,,,,,
6432052,643,Decatur County,Hutto Middle School,2052,EM,728,F,57.8,,,,,,,
6441059,644,DeKalb County,Idlewood Elementary School,1059,E,962,C,74.60000000000000,,,,,,,
6954050,695,Madison County,Ila Elementary School,4050,E,427,B,89.10000000000000,,,,,,,
660386,660,Fulton County,Independence High School,386,H,175,C,76.3,,,,46.2,11,49.3,
634100,634,Coffee County,Indian Creek Elementary School,100,E,661,B,83.60000000000000,,,,,,,
6442059,644,DeKalb County,Indian Creek Elementary School,2059,E,1111,C,70.8,,,,,,,
707398,707,Newton County,Indian Creek Middle School,398,M,947,D,65.8,,,,,,,
628116,628,Cherokee County,Indian Knoll Elementary School,116,E,1007,C,75.2,,,,,,,
6113067,611,Bibb County,Ingram/Pye Elementary School,3067,E,444,F,55.5,,,,,,,
656111,656,Fayette County,Inman Elementary School,111,E,609,B,80,,,,,,,
7830619619,7830619,State Charter School,International Academy of Smyrna,619,,,,,,,,,,,
7820614614,7820614,State Charter School,International Charter School of Atlanta,614,E,552,C,79.30000000000000,,,,,,,
644805,644,DeKalb County,International Community School,805,E,420,C,76.90000000000000,,,,,,,
6441100,644,DeKalb County,International Student Center,1100,M,247,F,34,,,,,,,
6475056,647,Dougherty County,International Studies Elementary Charter School,5056,E,438,C,76.10000000000000,,,,,,,
677188,677,Irwin County,Irwin County Elementary School,188,E,771,C,78.80000000000000,,,,,,,
6772050,677,Irwin County,Irwin County High School,2050,H,485,B,83.80000000000000,,,,54.2,33,88.90000000000000,
677173,677,Irwin County,Irwin County Middle School,173,M,411,D,64.90000000000000,,,,,,,
625411,625,Chatham County,Islands High School,411,H,1022,C,71.90000000000000,,,,70.10000000000000,59.7,88.10000000000000,
6253060,625,Chatham County,Isle of Hope School,3060,EM,753,C,71.2,,,,,,,
6601310,660,Fulton County,Ison Springs Elementary School,1310,E,597,C,72.5,,,,,,,
622405,622,Carroll County,Ithica Elementary School,405,E,714,B,89.30000000000000,,,,,,,
667305,667,Gwinnett County,Ivy Creek Elementary School,305,E,1058,B,89.90000000000000,,,,,,,
7830110110,7830110,State Charter School,Ivy Preparatory Academy at Gwinnett,110,M,145,D,61.3,,,,,,,
7820612612,7820612,State Charter School,"Ivy Preparatory Academy, Inc",612,EM,417,B,84.10000000000000,,,,,,,
710297,710,Paulding County,J. A. Dobbins Middle School,297,M,707,C,78.30000000000000,,,,,,,
7932050,793,Vidalia City,J. D. Dickerson Primary School,2050,E,369,-,,,,,,,,
792106,792,Valdosta City,J. L. Lomax Elementary School,106,E,523,F,51.8,,,,,,,
793173,793,Vidalia City,J. R. Trippe Middle School,173,M,516,C,70.90000000000000,,,,,,,
7371052,737,Tift County,J. T. Reddick School,1052,M,560,C,72.3,,,,,,,
667397,667,Gwinnett County,J.C. Magill Elementary School,397,E,1141,D,67.40000000000000,,,,,,,
754200,754,White County,Jack P. Nix Elementary School,200,E,440,B,88.7,,,,,,,
678191,678,Jackson County,Jackson County High School,191,H,1174,B,85.30000000000000,,,,65,55.6,94.40000000000000,
618111,618,Butts County,Jackson Elementary School,111,E,510,C,71.10000000000000,,,,,,,
667395,667,Gwinnett County,Jackson Elementary School,395,E,1609,B,81.60000000000000,,,,,,,
7612563,761,Atlanta Public Schools,Jackson Elementary School,2563,E,774,A,100.7,,,,,,,
647105,647,Dougherty County,Jackson Heights Elementary School,105,E,609,F,54.90000000000000,,,,,,,
618190,618,Butts County,Jackson High School,190,H,967,D,63.2,,,,55,34.4,84.40000000000000,
7261052,726,Spalding County,Jackson Road Elementary School,1052,E,367,C,76.10000000000000,,,,,,,
6255066,625,Chatham County,Jacob G. Smith Elementary School,5066,E,483,D,67.60000000000000,,,,,,,
631304,631,Clayton County,James A. Jackson Elementary School,304,E,1020,C,74.40000000000000,,,,,,,
721189,721,Richmond County,Jamestown Elementary School,189,E,319,F,56.5,,,,,,,
663114,663,Glynn County,Jane Macon Middle School,114,M,829,C,72.60000000000000,,,,,,,
679108,679,Jasper County,Jasper County High School,108,H,672,C,75.2,,,,51.90000000000000,45.8,76.60000000000000,
679201,679,Jasper County,Jasper County Middle School,201,M,532,C,75.10000000000000,,,,,,,
679195,679,Jasper County,Jasper County Primary School,195,E,541,-,,,,,,,,
712203,712,Pickens County,Jasper Elementary School,203,E,512,D,64.5,,,,,,,
712403,712,Pickens County,Jasper Middle School,403,M,549,C,75.7,,,,,,,
680175,680,Jeff Davis County,Jeff Davis Elementary School,175,E,727,C,72.90000000000000,,,,,,,
680199,680,Jeff Davis County,Jeff Davis High School,199,H,899,B,81.7,,,,73.3,52.8,87.10000000000000,
680111,680,Jeff Davis County,Jeff Davis Middle School,111,M,683,D,61.40000000000000,,,,,,,
680105,680,Jeff Davis County,Jeff Davis Primary School,105,E,667,-,,,,,,,,
779107,779,Jefferson City,Jefferson Academy,107,E,801,B,88.7,,,,,,,
681196,681,Jefferson County,Jefferson County High School,196,H,799,F,59.90000000000000,,,,50.40000000000000,42.40000000000000,90.90000000000000,
7793050,779,Jefferson City,Jefferson Elementary School,3050,E,780,-,,,,,,,,
779174,779,Jefferson City,Jefferson High School,174,H,1071,A,96.90000000000000,,,,78.60000000000000,43.90000000000000,95.30000000000000,
779101,779,Jefferson City,Jefferson Middle School,101,M,848,A,96.7,,,,,,,
638195,638,Coweta County,Jefferson Parkway Elementary School,195,E,461,D,66.40000000000000,,,,,,,
